version https://git-lfs.github.com/spec/v1,team,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,year
oid sha256:895f1fb233be0d632aea9033e1ccf99eaff505b5187af91bdc6a551826d742a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size 1572689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,georgia-tech,Georgia Tech,31,11,20,.355,3.11,6.76,2,16,10,9,1,9,2287,2400,1245,817,1849,.442,215,613,.351,438,616,.711,330,1149,489,188,122,415,558,2026.0
,gonzaga,Gonzaga,33,30,3,.909,25.14,6.02,16,2,15,0,8,2,2809,2178,1325,1067,2092,.510,220,648,.340,455,651,.699,395,1317,605,281,122,319,555,2026.0
,grambling,Grambling,33,14,19,.424,-12.20,-9.98,7,11,7,5,4,13,2321,2314,1320,779,1812,.430,219,688,.318,544,743,.732,341,1107,396,266,94,481,616,2026.0
,grand-canyon,Grand Canyon,32,20,12,.625,11.04,4.07,13,7,13,4,6,5,2420,2197,1285,827,1818,.455,225,707,.318,541,718,.753,330,1158,410,211,115,391,592,2026.0
,green-bay,Green Bay,33,18,15,.545,-4.97,-3.00,12,8,10,4,6,9,2469,2470,1331,842,1734,.486,233,644,.362,552,721,.766,250,1033,460,148,90,345,559,2026.0
,hampton,Hampton,32,13,19,.406,-8.63,-4.53,7,11,10,2,2,12,2237,2264,1290,768,1854,.414,205,697,.294,496,692,.717,399,1154,386,209,104,358,617,2026.0
,harvard,Harvard,29,17,12,.586,-1.61,-4.08,10,4,8,4,9,6,2032,1934,1175,737,1592,.463,221,638,.346,337,422,.799,241,936,408,208,105,323,395,2026.0
,hawaii,Hawaii,32,24,8,.750,4.86,-3.57,14,6,16,3,6,5,2548,2231,1290,859,1870,.459,236,749,.315,594,802,.741,355,1257,439,212,130,431,571,2026.0
,high-point,High Point,34,30,4,.882,6.77,-7.87,15,1,17,1,7,2,3059,2389,1370,1034,2104,.491,314,883,.356,677,911,.743,395,1237,554,370,130,318,634,2026.0
,hofstra,Hofstra,34,24,10,.706,4.48,-2.46,12,6,10,2,9,8,2571,2246,1370,886,2005,.442,322,876,.368,477,639,.746,422,1335,434,169,125,360,583,2026.0
,holy-cross,Holy Cross,33,11,22,.333,-13.66,-6.79,5,13,6,8,4,14,2251,2418,1320,796,1826,.436,219,683,.321,440,582,.756,252,1031,358,189,59,335,515,2026.0
,houston,Houston,34,28,6,.824,26.23,11.93,14,4,15,1,6,3,2623,2137,1365,944,2099,.450,299,856,.349,436,565,.772,435,1244,499,263,131,289,612,2026.0
,houston-baptist,Houston Christian,32,12,20,.375,-9.74,-3.61,8,14,9,5,3,13,2147,2309,1285,758,1721,.440,194,628,.309,437,627,.697,327,1021,446,213,126,398,489,2026.0
,howard,Howard,33,23,10,.697,-4.62,-11.83,11,3,11,4,7,6,2556,2236,1324,860,1875,.459,220,637,.345,616,843,.731,409,1207,535,286,121,447,632,2026.0
,idaho,Idaho,35,21,14,.600,-0.03,-2.69,9,9,9,4,7,9,2753,2540,1405,940,2097,.448,349,981,.356,524,713,.735,373,1309,439,205,81,370,636,2026.0
,idaho-state,Idaho State,33,13,20,.394,-5.53,-1.60,5,13,8,6,3,12,2459,2513,1326,841,1860,.452,253,767,.330,524,710,.738,363,1098,393,173,139,366,582,2026.0
,illinois,Illinois,32,24,8,.750,26.46,11.90,15,5,14,3,8,2,2700,2234,1300,918,1984,.463,349,1006,.347,515,653,.789,422,1301,470,120,148,284,428,2026.0
,illinois-state,Illinois State,32,20,12,.625,6.32,0.87,12,8,13,2,5,7,2404,2190,1285,861,1845,.467,275,781,.352,407,580,.702,312,1142,432,183,74,363,538,2026.0
,illinois-chicago,Illinois-Chicago,34,19,15,.559,3.84,0.49,12,8,9,5,7,8,2567,2379,1380,912,2006,.455,211,654,.323,532,729,.730,437,1237,493,271,121,407,571,2026.0
,incarnate-word,Incarnate Word,31,12,19,.387,-7.07,-2.50,7,15,9,6,2,12,2302,2285,1240,805,1801,.447,266,706,.377,426,595,.716,365,1062,362,167,77,346,548,2026.0
,indiana,Indiana,32,18,14,.563,16.70,10.70,9,11,14,4,3,8,2501,2309,1295,849,1793,.474,314,906,.347,489,627,.780,263,1037,531,149,86,325,585,2026.0
,indiana-state,Indiana State,32,11,21,.344,-2.68,0.72,4,16,8,7,3,12,2354,2383,1305,866,1864,.465,267,837,.319,355,525,.676,298,1122,560,198,103,439,514,2026.0
,iona,Iona,32,18,14,.563,-7.26,-7.98,10,10,11,3,6,8,2363,2340,1305,832,1899,.438,306,871,.351,393,556,.707,317,1139,447,212,95,384,519,2026.0
,iowa,Iowa,33,21,12,.636,19.00,9.75,10,10,14,3,3,8,2482,2177,1325,873,1777,.491,264,739,.357,472,613,.770,291,971,506,235,66,320,582,2026.0
,iowa-state,Iowa State,34,27,7,.794,27.15,10.50,12,6,16,1,5,5,2781,2215,1360,1003,2048,.490,307,794,.387,468,696,.672,403,1211,586,305,92,349,543,2026.0
,iupui,IU Indy,32,7,25,.219,-12.44,-4.14,3,17,5,9,2,15,2673,2825,1285,1013,2204,.460,308,946,.326,339,466,.727,360,1037,648,284,102,384,706,2026.0
,jackson-state,Jackson State,33,12,21,.364,-19.47,-5.96,10,8,7,3,4,15,2318,2764,1330,753,1936,.389,263,838,.314,549,724,.758,375,1122,345,208,98,459,638,2026.0
,jacksonville,Jacksonville,32,12,20,.375,-10.70,-5.04,7,11,8,4,3,14,2339,2349,1290,835,1836,.455,227,695,.327,442,616,.718,355,1085,386,212,94,359,620,2026.0
,jacksonville-state,Jacksonville State,32,15,17,.469,-3.44,-2.78,10,10,10,7,5,8,2325,2188,1290,779,1776,.439,249,695,.358,518,756,.685,350,1176,386,198,98,366,549,2026.0
,james-madison,James Madison,33,18,15,.545,-4.95,-5.24,9,9,11,4,5,10,2460,2437,1330,854,1876,.455,277,796,.348,475,673,.706,350,1212,413,172,139,385,619,2026.0
,kansas,Kansas,33,23,10,.697,21.11,14.87,12,6,14,2,5,6,2496,2290,1330,883,1948,.453,243,695,.350,487,635,.767,334,1282,471,181,189,352,474,2026.0
,missouri-kansas-city,Kansas City,31,4,27,.129,-19.65,-1.90,1,15,3,11,1,15,2149,2600,1245,774,1877,.412,208,692,.301,393,581,.676,327,1034,368,195,98,407,505,2026.0
,kansas-state,Kansas State,32,12,20,.375,8.59,10.87,3,15,10,8,1,10,2546,2619,1280,929,2026,.459,302,829,.364,386,544,.710,333,1088,536,225,113,412,614,2026.0
,kennesaw-state,Kennesaw State,34,21,13,.618,0.14,-1.99,10,10,13,3,4,8,2834,2586,1370,940,2106,.446,320,915,.350,634,918,.691,473,1371,485,241,180,404,680,2026.0
,kent-state,Kent State,33,24,9,.727,-0.10,-2.45,14,4,14,3,7,5,2808,2628,1345,918,2033,.452,325,909,.358,647,872,.742,432,1308,529,227,113,435,651,2026.0
,kentucky,Kentucky,34,21,13,.618,19.82,12.88,10,8,14,4,4,6,2746,2510,1360,955,2057,.464,275,806,.341,561,771,.728,406,1275,544,243,150,357,627,2026.0
,la-salle,La Salle,32,9,23,.281,-4.08,4.01,5,13,7,6,1,13,2148,2370,1280,745,1818,.410,171,573,.298,485,670,.724,392,1122,415,218,84,388,523,2026.0
,lafayette,Lafayette,32,11,21,.344,-12.84,-6.58,8,10,6,10,5,11,2222,2381,1285,787,1839,.428,236,735,.321,412,597,.690,297,1059,436,178,75,332,522,2026.0
,lamar,Lamar,31,12,19,.387,-5.71,-3.64,7,15,7,8,5,10,2167,2143,1245,797,1856,.429,211,641,.329,362,516,.702,408,1155,449,201,136,372,535,2026.0
,le-moyne,Le Moyne,32,15,17,.469,-10.88,-9.30,10,8,9,4,5,12,2336,2341,1280,805,1751,.460,241,709,.340,485,675,.719,266,1118,455,186,106,421,556,2026.0
