,TeamID,yr,school,pct_win_rd,rd
153,1186,2021,e washington,0.3,4
154,1186,2021,e washington,0.1,5
155,1186,2021,e washington,0.1,6
156,1196,2021,florida,53.4,1
157,1196,2021,florida,10.6,2
158,1196,2021,florida,4.4,3
159,1196,2021,florida,1.4,4
160,1196,2021,florida,0.5,5
161,1196,2021,florida,0.3,6
162,1199,2021,florida state,89.1,1
163,1199,2021,florida state,59.1,2
164,1199,2021,florida state,20.8,3
165,1199,2021,florida state,8.9,4
166,1199,2021,florida state,2.2,5
167,1199,2021,florida state,0.9,6
168,1207,2021,georgetown,42.9,1
169,1207,2021,georgetown,14.0,2
170,1207,2021,georgetown,3.1,3
171,1207,2021,georgetown,1.2,4
172,1207,2021,georgetown,0.4,5
173,1207,2021,georgetown,0.2,6
174,1209,2022,georgia state,3.5,1
175,1209,2022,georgia state,1.6,2
176,1209,2022,georgia state,0.9,3
177,1209,2022,georgia state,0.5,4
178,1209,2022,georgia state,0.3,5
179,1209,2022,georgia state,0.2,6
180,1210,2021,georgia tech,43.9,1
181,1210,2021,georgia tech,5.3,2
182,1210,2021,georgia tech,2.3,3
183,1210,2021,georgia tech,1.0,4
184,1210,2021,georgia tech,0.4,5
185,1210,2021,georgia tech,0.2,6
186,1211,2021,gonzaga,97.4,1
187,1211,2021,gonzaga,91.3,2
188,1211,2021,gonzaga,81.8,3
189,1211,2021,gonzaga,65.7,4
190,1211,2021,gonzaga,51.8,5
191,1211,2021,gonzaga,34.4,6
192,1211,2022,gonzaga,96.6,1
193,1211,2022,gonzaga,90.4,2
194,1211,2022,gonzaga,78.7,3
195,1211,2022,gonzaga,58.4,4
196,1211,2022,gonzaga,41.8,5
197,1211,2022,gonzaga,27.2,6
198,1213,2021,grand canyon,5.8,1
199,1213,2021,grand canyon,2.3,2
200,1213,2021,grand canyon,1.1,3
201,1213,2021,grand canyon,0.3,4
202,1213,2021,grand canyon,0.2,5
203,1213,2021,grand canyon,0.1,6
204,1216,2021,hartford,3.4,1
205,1216,2021,hartford,1.4,2
206,1216,2021,hartford,0.8,3
207,1216,2021,hartford,0.4,4
208,1216,2021,hartford,0.2,5
209,1216,2021,hartford,0.1,6
210,1222,2021,houston,94.9,1
211,1222,2021,houston,78.2,2
212,1222,2021,houston,48.4,3
213,1222,2021,houston,17.6,4
214,1222,2021,houston,8.4,5
215,1222,2021,houston,3.3,6
216,1222,2022,houston,80.2,1
217,1222,2022,houston,43.2,2
218,1222,2022,houston,13.7,3
219,1222,2022,houston,7.0,4
220,1222,2022,houston,3.7,5
221,1222,2022,houston,1.5,6
222,1228,2021,illinois,96.3,1
223,1228,2021,illinois,85.6,2
224,1228,2021,illinois,68.4,3
225,1228,2021,illinois,52.0,4
226,1228,2021,illinois,31.5,5
227,1228,2021,illinois,15.2,6
228,1228,2022,illinois,83.5,1
229,1228,2022,illinois,45.9,2
230,1228,2022,illinois,12.2,3
231,1228,2022,illinois,5.5,4
232,1228,2022,illinois,2.4,5
233,1228,2022,illinois,1.0,6
234,1231,2022,indiana,30.7,1
235,1231,2022,indiana,7.3,2
236,1231,2022,indiana,1.8,3
237,1231,2022,indiana,0.7,4
238,1231,2022,indiana,0.3,5
239,1231,2022,indiana,0.2,6
240,1233,2021,iona,6.1,1
241,1233,2021,iona,2.3,2
242,1233,2021,iona,1.0,3
243,1233,2021,iona,0.3,4
244,1233,2021,iona,0.1,5
245,1233,2021,iona,0.1,6
246,1234,2021,iowa,94.2,1
247,1234,2021,iowa,77.6,2
248,1234,2021,iowa,51.6,3
249,1234,2021,iowa,14.4,4
250,1234,2021,iowa,8.1,5
251,1234,2021,iowa,3.7,6
252,1234,2022,iowa,85.6,1
253,1234,2022,iowa,60.9,2
254,1234,2022,iowa,21.4,3
255,1234,2022,iowa,12.2,4
256,1234,2022,iowa,4.0,5
257,1234,2022,iowa,1.6,6
258,1235,2022,iowa state,37.4,1
259,1235,2022,iowa state,10.0,2
260,1235,2022,iowa state,2.7,3
261,1235,2022,iowa state,0.7,4
262,1235,2022,iowa state,0.2,5
263,1235,2022,iowa state,0.1,6
264,1242,2021,kansas,92.1,1
265,1242,2021,kansas,64.5,2
266,1242,2021,kansas,28.5,3
267,1242,2021,kansas,7.5,4
268,1242,2021,kansas,3.9,5
269,1242,2021,kansas,1.9,6
270,1242,2022,kansas,96.6,1
271,1242,2022,kansas,87.5,2
272,1242,2022,kansas,64.9,3
273,1242,2022,kansas,42.8,4
274,1242,2022,kansas,19.3,5
275,1242,2022,kansas,8.4,6
276,1246,2022,kentucky,95.6,1
277,1246,2022,kentucky,83.3,2
278,1246,2022,kentucky,54.6,3
279,1246,2022,kentucky,31.8,4
280,1246,2022,kentucky,13.0,5
281,1246,2022,kentucky,6.9,6
282,1251,2021,liberty,15.7,1
283,1251,2021,liberty,5.5,2
284,1251,2021,liberty,1.1,3
285,1251,2021,liberty,0.4,4
286,1251,2021,liberty,0.2,5
287,1251,2021,liberty,0.1,6
288,1255,2022,longwood,6.3,1
289,1255,2022,longwood,2.4,2
290,1255,2022,longwood,0.8,3
291,1255,2022,longwood,0.3,4
292,1255,2022,longwood,0.1,5
293,1255,2022,longwood,0.1,6
294,1260,2021,loyola chicago,56.1,1
295,1260,2021,loyola chicago,7.5,2
296,1260,2021,loyola chicago,3.8,3
297,1260,2021,loyola chicago,1.6,4
298,1260,2021,loyola chicago,0.6,5
299,1260,2021,loyola chicago,0.3,6
300,1260,2022,loyola chicago,48.5,1
301,1260,2022,loyola chicago,10.7,2
302,1260,2022,loyola chicago,3.4,3
303,1260,2022,loyola chicago,1.0,4
304,1260,2022,loyola chicago,0.4,5
305,1260,2022,loyola chicago,0.2,6
306,1261,2021,lsu,64.4,1
307,1261,2021,lsu,12.4,2
308,1261,2021,lsu,5.8,3
309,1261,2021,lsu,2.1,4
310,1261,2021,lsu,0.6,5
311,1261,2021,lsu,0.3,6
312,1261,2022,lsu,62.6,1
313,1261,2022,lsu,23.2,2
314,1261,2022,lsu,7.5,3
315,1261,2022,lsu,2.5,4
316,1261,2022,lsu,0.8,5
317,1261,2022,lsu,0.3,6
318,1266,2022,marquette,33.7,1
319,1266,2022,marquette,4.9,2
320,1266,2022,marquette,1.9,3
321,1266,2022,marquette,0.7,4
322,1266,2022,marquette,0.2,5
323,1266,2022,marquette,0.1,6
324,1268,2021,maryland,43.6,1
325,1268,2021,maryland,8.6,2
326,1268,2021,maryland,3.0,3
327,1268,2021,maryland,0.8,4
328,1268,2021,maryland,0.3,5
329,1268,2021,maryland,0.1,6
330,1272,2022,memphis,62.2,1
331,1272,2022,memphis,5.1,2
332,1272,2022,memphis,2.3,3
333,1272,2022,memphis,0.9,4
334,1272,2022,memphis,0.4,5
335,1272,2022,memphis,0.2,6
336,1276,2021,michigan,96.9,1
337,1276,2021,michigan,81.2,2
338,1276,2021,michigan,60.2,3
339,1276,2021,michigan,37.8,4
340,1276,2021,michigan,13.7,5
341,1276,2021,michigan,7.8,6
342,1276,2022,michigan,56.0,1
343,1276,2022,michigan,12.8,2
344,1276,2022,michigan,4.1,3
345,1276,2022,michigan,1.5,4
346,1276,2022,michigan,0.7,5
347,1276,2022,michigan,0.4,6
348,1277,2022,michigan state,59.9,1
349,1277,2022,michigan state,13.5,2
350,1277,2022,michigan state,5.3,3
351,1277,2022,michigan state,1.5,4
352,1277,2022,michigan state,0.7,5
353,1277,2022,michigan state,0.4,6
354,1281,2021,missouri,42.9,1
355,1281,2021,missouri,3.2,2
356,1281,2021,missouri,1.4,3
357,1281,2021,missouri,0.6,4
358,1281,2021,missouri,0.3,5
