version https://git-lfs.github.com/spec/v1,team,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,year
oid sha256:e71f55f5cb8ea895d20790615afb0c233f8f5354de41234ec4e70640802fd4dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size 1514983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,boston-university,Boston University,31,11,20,.355,-12.98,-7.88,6,12,5,10,6,10,1826,1908,1250,695,1577,.441,183,531,.345,253,384,.659,272,1034,437,147,123,461,406,2026.0
,bowling-green-state,Bowling Green,31,17,14,.548,-3.14,0.04,9,9,12,3,5,9,2153,2053,1245,729,1859,.392,220,761,.289,475,646,.735,371,1143,439,361,145,521,589,2026.0
,bradley,Bradley,32,20,12,.625,0.07,-4.00,13,7,13,2,6,8,2241,2054,1295,800,1947,.411,255,737,.346,386,527,.732,323,1192,440,244,110,425,557,2026.0
,brigham-young,Brigham Young,33,22,11,.667,16.78,11.02,9,9,12,4,6,5,2308,2118,1320,807,1995,.405,261,850,.307,433,605,.716,435,1313,473,331,144,567,600,2026.0
,brown,Brown,27,16,11,.593,0.17,-2.56,8,6,9,2,7,8,1656,1533,1090,611,1582,.386,176,605,.291,258,386,.668,359,1084,333,240,100,430,396,2026.0
,bryant,Bryant,30,18,12,.600,-3.37,-8.76,8,8,9,5,9,7,1895,1649,1220,715,1716,.417,174,526,.331,291,427,.681,340,1101,450,226,81,443,526,2026.0
,bucknell,Bucknell,30,11,19,.367,-14.42,-7.48,7,11,7,8,4,11,1582,1707,1205,590,1539,.383,163,576,.283,239,337,.709,224,905,345,213,109,434,421,2026.0
,buffalo,Buffalo,30,3,27,.100,-15.11,-1.95,1,17,3,10,0,14,1760,2155,1200,664,1781,.373,124,504,.246,308,473,.651,421,1160,350,259,78,622,580,2026.0
,butler,Butler,31,12,19,.387,5.58,8.39,6,14,9,8,2,9,1927,2014,1245,699,1641,.426,195,615,.317,334,449,.744,256,1011,446,201,88,558,475,2026.0
,cal-poly,Cal Poly,30,4,26,.133,-19.22,0.57,2,18,3,11,1,15,1706,2172,1202,614,1619,.379,122,454,.269,356,485,.734,300,1044,317,193,52,603,566,2026.0
,cal-state-bakersfield,Cal State Bakersfield,30,7,23,.233,-13.53,-4.70,2,18,3,12,4,11,1844,2088,1215,644,1841,.350,173,610,.284,383,557,.688,357,1084,283,266,76,476,643,2026.0
,cal-state-fullerton,Cal State Fullerton,32,18,14,.563,-2.85,-4.82,13,7,10,6,7,7,2282,2105,1304,830,2155,.385,124,478,.259,498,717,.695,588,1275,451,496,74,555,658,2026.0
,cal-state-northridge,Cal State Northridge,30,10,20,.333,-11.27,-3.56,6,14,7,8,3,11,1940,2003,1200,700,1784,.392,225,768,.293,315,471,.669,370,1147,379,299,124,608,602,2026.0
,california,California,33,19,14,.576,18.20,11.89,9,9,13,4,4,6,2288,2080,1340,813,1876,.433,240,741,.324,422,589,.716,351,1233,524,216,105,523,491,2026.0
,california-baptist,California Baptist,33,23,10,.697,3.88,-2.63,15,3,10,5,11,5,2403,2188,1335,896,2161,.415,285,935,.305,326,458,.712,377,1372,512,293,179,495,626,2026.0
,campbell,Campbell,32,20,12,.625,-6.43,-7.46,13,5,12,2,7,7,1933,1780,1290,703,1782,.395,179,591,.303,348,525,.663,424,1189,358,240,161,523,470,2026.0
,canisius,Canisius,29,5,24,.172,-21.19,-7.81,3,17,4,10,1,14,1592,1980,1174,563,1429,.394,120,433,.277,346,487,.710,328,1031,324,156,48,684,514,2026.0
,central-arkansas,Central Arkansas,32,21,11,.656,2.45,-6.32,13,5,9,3,9,7,2214,1837,1290,820,2028,.404,268,880,.305,306,431,.710,409,1297,418,292,113,433,605,2026.0
,central-connecticut-state,Central Connecticut State,29,2,27,.069,-32.25,-13.94,2,16,2,11,0,16,1559,2090,1160,569,1629,.349,90,383,.235,331,442,.749,270,940,274,237,66,489,496,2026.0
,central-michigan,Central Michigan,30,18,12,.600,3.23,0.06,12,6,9,4,9,7,2109,1990,1206,758,1770,.428,156,445,.351,435,620,.702,437,1255,396,187,70,556,500,2026.0
,charleston-southern,Charleston Southern,30,8,22,.267,-19.58,-7.13,6,10,4,10,4,11,1844,2184,1205,648,1714,.378,262,804,.326,286,409,.699,256,1042,339,166,55,508,479,2026.0
,charlotte,Charlotte,32,14,18,.438,0.72,3.44,8,10,8,7,5,8,2033,2120,1300,769,2058,.374,192,637,.301,303,446,.679,550,1305,377,279,114,543,551,2026.0
,chattanooga,Chattanooga,30,20,10,.667,-6.51,-9.51,10,4,11,3,6,5,1949,1766,1210,718,1706,.421,202,617,.327,311,417,.746,337,1086,348,239,77,449,503,2026.0
,chicago-state,Chicago State,32,9,23,.281,-23.94,-11.47,8,10,6,5,3,16,1993,2392,1281,733,1867,.393,139,511,.272,388,596,.651,348,1061,364,295,97,572,656,2026.0
,cincinnati,Cincinnati,31,11,20,.355,7.70,12.47,6,12,7,9,2,10,2170,2274,1250,779,1916,.407,159,498,.319,453,635,.713,457,1233,391,216,98,521,565,2026.0
