version https://git-lfs.github.com/spec/v1,team,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,year
oid sha256:e71f55f5cb8ea895d20790615afb0c233f8f5354de41234ec4e70640802fd4dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size 1514983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iowa-state,Iowa State,31,22,9,.710,24.80,9.64,10,8,15,3,5,5,2552,2082,1240,913,1907,.479,261,715,.365,465,628,.740,316,1177,621,197,75,394,482,2026.0
,iupui,IU Indy,31,14,17,.452,-8.44,-3.20,9,11,10,5,4,11,2054,2131,1250,702,1768,.397,169,609,.278,481,719,.669,341,1003,335,334,83,518,604,2026.0
,jackson-state,Jackson State,31,12,19,.387,-17.69,-10.46,10,8,5,8,6,10,1828,1968,1245,642,1813,.354,186,603,.308,358,522,.686,449,1180,365,253,41,580,596,2026.0
,jacksonville,Jacksonville,32,24,8,.750,0.52,-4.48,13,5,13,2,8,6,2334,2135,1295,789,1975,.399,156,524,.298,600,827,.726,385,1212,383,316,105,498,631,2026.0
,jacksonville-state,Jacksonville State,32,16,16,.500,-6.20,-5.20,9,9,10,4,5,10,2015,1902,1295,710,1836,.387,248,797,.311,347,496,.700,390,1210,333,185,89,460,441,2026.0
,james-madison,James Madison,34,26,8,.765,17.69,3.98,14,4,14,3,7,5,2542,2076,1370,959,2130,.450,216,685,.315,408,598,.682,457,1434,522,310,129,513,532,2026.0
,kansas,Kansas,32,19,13,.594,17.97,13.04,8,10,12,4,5,6,2297,2076,1290,817,1708,.478,184,535,.344,479,629,.762,276,1109,475,215,105,519,561,2026.0
,missouri-kansas-city,Kansas City,30,7,23,.233,-10.49,0.32,4,12,5,10,2,12,1997,2106,1215,766,1858,.412,157,465,.338,308,482,.639,394,1049,383,267,83,446,541,2026.0
,kansas-state,Kansas State,35,18,17,.514,17.37,14.75,8,10,7,8,6,6,2442,2350,1400,885,2056,.430,268,770,.348,404,569,.710,329,1170,517,341,87,513,614,2026.0
,kennesaw-state,Kennesaw State,30,13,17,.433,-7.86,-3.19,6,12,9,6,4,10,1859,1847,1210,708,1642,.431,112,374,.299,331,504,.657,336,1039,369,286,130,602,562,2026.0
,kent-state,Kent State,31,15,16,.484,-0.92,1.18,9,9,10,3,4,11,2138,2095,1240,735,1827,.402,164,560,.293,504,644,.783,430,1210,411,257,85,572,589,2026.0
,kentucky,Kentucky,33,23,10,.697,31.45,16.06,8,8,12,3,8,5,2496,1988,1320,921,2062,.447,281,847,.332,373,540,.691,417,1340,567,177,217,419,504,2026.0
,la-salle,La Salle,31,18,13,.581,-0.33,-0.03,10,8,8,6,9,5,2000,1976,1240,739,1865,.396,155,536,.289,367,524,.700,377,1134,438,306,114,498,502,2026.0
,lafayette,Lafayette,30,11,19,.367,-13.55,-9.55,7,11,5,7,6,12,1767,1887,1209,627,1635,.383,216,632,.342,297,382,.777,247,985,342,199,92,413,356,2026.0
,lamar,Lamar,30,20,10,.667,-4.58,-9.38,17,5,13,1,7,8,1927,1757,1215,684,1690,.405,154,470,.328,405,591,.685,421,1121,344,301,68,525,552,2026.0
,le-moyne,Le Moyne,33,12,21,.364,-25.76,-12.08,9,9,6,6,6,14,1853,2279,1330,637,1717,.371,209,663,.315,370,470,.787,316,1107,351,179,48,591,517,2026.0
,lehigh,Lehigh,30,17,13,.567,-5.06,-6.19,11,6,10,5,7,8,1988,1954,1210,674,1567,.430,255,775,.329,385,498,.773,250,877,441,234,45,476,438,2026.0
,liberty,Liberty,31,18,13,.581,1.71,0.02,11,7,9,5,6,5,1983,1860,1240,734,1719,.427,209,593,.352,306,444,.689,381,1190,418,205,92,522,507,2026.0
,lindenwood,Lindenwood,33,25,8,.758,5.83,-3.21,16,4,12,2,11,4,2411,2012,1320,875,1885,.464,277,737,.376,384,501,.766,326,1097,527,277,62,431,484,2026.0
,lipscomb,Lipscomb,30,10,20,.333,-10.51,-6.51,7,11,6,8,4,11,1833,1861,1205,639,1608,.397,215,706,.305,340,474,.717,259,1090,309,221,182,555,411,2026.0
,arkansas-little-rock,Little Rock,31,15,16,.484,-7.19,-2.44,11,9,9,6,5,9,1891,1950,1240,679,1824,.372,143,499,.287,390,542,.720,377,1145,316,222,77,471,563,2026.0
,long-beach-state,Long Beach State,30,5,25,.167,-17.36,-0.29,4,16,5,11,0,14,1677,2166,1205,603,1660,.363,168,597,.281,303,439,.690,294,1053,359,198,91,546,493,2026.0
,long-island-university,Long Island University,31,21,10,.677,-12.68,-18.57,14,4,10,4,11,6,2210,1920,1250,774,1833,.422,225,662,.340,437,598,.731,375,1200,429,228,130,506,535,2026.0
,longwood,Longwood,31,21,10,.677,-5.90,-10.36,11,5,12,3,6,6,2372,2036,1260,860,2124,.405,209,670,.312,443,608,.729,500,1268,452,424,71,534,477,2026.0
,louisiana-lafayette,Louisiana,31,5,26,.161,-17.02,0.74,2,16,2,12,2,11,1818,2300,1240,671,1879,.357,100,406,.246,376,524,.718,403,1114,284,259,54,579,571,2026.0
,louisiana-state,Louisiana State,32,27,5,.844,46.80,13.18,12,4,13,2,10,2,3023,1947,1280,1141,2261,.505,185,485,.381,556,756,.735,563,1553,586,366,180,475,532,2026.0
,louisiana-tech,Louisiana Tech,32,26,6,.813,8.82,-1.69,17,1,15,1,9,3,2341,1866,1285,844,1904,.443,235,678,.347,418,563,.742,425,1176,513,310,86,514,538,2026.0
,louisiana-monroe,Louisiana-Monroe,33,17,16,.515,0.47,0.10,7,11,10,5,4,10,2299,2237,1320,849,2144,.396,193,597,.323,408,601,.679,558,1359,436,337,61,571,614,2026.0
,louisville,Louisville,34,27,7,.794,33.52,14.35,15,3,14,5,9,0,2718,2066,1375,1036,2248,.461,263,761,.346,383,523,.732,475,1400,577,320,94,454,505,2026.0
,loyola-il,Loyola (IL),31,14,17,.452,-3.05,1.89,9,9,5,10,8,6,1754,1907,1240,655,1684,.389,142,536,.265,302,471,.641,312,956,365,259,94,488,537,2026.0
,loyola-md,Loyola (MD),30,12,18,.400,-11.83,-6.53,8,10,6,7,6,11,1652,1811,1210,611,1527,.400,126,426,.296,304,453,.671,314,983,366,220,64,510,516,2026.0
,loyola-marymount,Loyola Marymount,30,21,9,.700,5.20,-1.25,15,3,12,3,8,5,2128,1887,1225,784,1847,.424,157,501,.313,403,558,.722,381,1010,429,296,45,393,534,2026.0
,maine,Maine,32,19,13,.594,-1.81,-3.49,12,4,11,3,7,9,1973,1919,1280,737,1815,.406,183,634,.289,316,435,.726,287,1031,421,256,89,365,437,2026.0
,manhattan,Manhattan,31,11,20,.355,-13.91,-7.59,10,10,6,8,4,10,1790,1986,1245,660,1760,.375,109,424,.257,361,480,.752,377,1156,450,277,112,565,567,2026.0
,marist,Marist,31,11,20,.355,-15.43,-7.69,8,12,8,7,3,10,1811,2051,1270,634,1724,.368,201,622,.323,342,448,.763,281,1035,350,235,74,508,471,2026.0
,marquette,Marquette,30,18,12,.600,12.79,9.48,12,8,11,4,7,5,2030,1891,1210,759,1689,.449,212,591,.359,300,392,.765,303,1070,517,206,139,496,392,2026.0
,marshall,Marshall,32,23,9,.719,5.47,0.84,13,5,13,3,9,5,2325,2047,1300,825,1946,.424,286,882,.324,389,549,.709,405,1145,442,392,157,489,513,2026.0
,maryland,Maryland,31,23,8,.742,32.40,13.37,11,7,15,4,6,3,2550,1960,1265,929,2033,.457,214,650,.329,478,622,.768,486,1291,514,315,108,482,495,2026.0
,maryland-baltimore-county,Maryland-Baltimore County,30,16,14,.533,-4.99,-5.38,10,6,8,6,7,8,1879,1745,1235,667,1765,.378,137,470,.291,408,571,.715,408,1101,299,293,89,450,540,2026.0
,maryland-eastern-shore,Maryland-Eastern Shore,33,19,14,.576,-9.66,-6.99,11,3,10,3,8,7,2052,2066,1330,717,1890,.379,115,429,.268,503,708,.710,449,1237,349,337,90,678,693,2026.0
,massachusetts,Massachusetts,30,23,7,.767,5.27,-3.20,15,3,12,2,10,3,2065,1811,1200,786,1840,.427,166,536,.310,327,470,.696,387,1118,480,300,105,439,485,2026.0
,massachusetts-lowell,Massachusetts-Lowell,29,8,21,.276,-23.28,-6.63,2,14,5,8,3,13,1606,1925,1170,589,1616,.364,187,711,.263,241,343,.703,360,1007,277,168,85,490,425,2026.0
,mcneese-state,McNeese State,33,28,5,.848,5.29,-7.52,21,1,12,1,13,2,2277,1745,1325,862,2105,.410,174,520,.335,379,523,.725,412,1102,474,499,41,351,605,2026.0
,memphis,Memphis,31,10,21,.323,-4.41,0.79,4,14,7,8,3,11,2025,2137,1270,783,2019,.388,122,496,.246,337,569,.592,360,1185,391,337,131,520,648,2026.0
,mercer,Mercer,30,17,13,.567,-10.75,-10.32,7,7,9,4,7,8,1904,1851,1205,662,1743,.380,160,509,.314,420,565,.743,363,1075,344,278,105,454,490,2026.0
,mercyhurst,Mercyhurst,31,15,16,.484,-20.87,-11.84,14,4,7,8,8,8,2006,2286,1245,678,1751,.387,285,864,.330,365,482,.757,297,882,388,246,33,463,552,2026.0
,merrimack,Merrimack,31,19,12,.613,-8.15,-10.49,15,5,11,3,7,8,2092,1971,1250,766,1887,.406,211,695,.304,349,488,.715,397,1217,452,270,120,537,516,2026.0
,miami-fl,Miami (FL),31,17,14,.548,16.88,12.23,8,10,10,6,4,5,2180,2036,1255,823,1880,.438,179,596,.300,355,531,.669,358,1192,412,213,83,439,495,2026.0
,miami-oh,Miami (OH),34,28,6,.824,8.55,-1.86,16,2,14,0,10,5,2414,1988,1365,862,1934,.446,292,827,.353,398,524,.760,303,1135,544,362,127,530,607,2026.0
,michigan,Michigan,31,25,6,.806,39.54,18.86,15,3,14,1,8,2,2593,1952,1260,977,2081,.469,207,620,.334,432,636,.679,475,1252,536,353,110,461,579,2026.0
,michigan-state,Michigan State,30,22,8,.733,32.22,15.09,11,7,11,4,7,3,2491,1977,1205,916,1906,.481,226,613,.369,433,600,.722,365,1059,545,347,120,389,482,2026.0
,middle-tennessee,Middle Tennessee,31,16,15,.516,0.39,-0.97,11,7,9,5,6,8,1919,1877,1250,662,1655,.400,220,670,.328,375,494,.759,334,1076,316,238,85,528,523,2026.0
,milwaukee,Milwaukee,32,8,24,.250,-14.56,-4.39,4,16,5,11,3,12,1939,2191,1295,685,1742,.393,217,663,.327,352,507,.694,289,1136,391,190,92,518,571,2026.0
,minnesota,Minnesota,30,22,8,.733,32.28,15.28,13,5,13,3,8,3,2248,1738,1210,863,1919,.450,197,568,.347,325,433,.751,396,1180,495,257,79,328,411,2026.0
,mississippi,Mississippi,34,23,11,.676,28.39,14.95,8,8,12,2,4,6,2565,2108,1365,916,2117,.433,175,595,.294,558,754,.740,517,1359,483,275,167,484,586,2026.0
,mississippi-state,Mississippi State,31,18,13,.581,20.23,12.52,5,11,13,5,3,7,2320,2081,1240,855,1951,.438,183,572,.320,427,590,.724,434,1295,436,253,146,480,490,2026.0
,mississippi-valley-state,Mississippi Valley State,31,8,23,.258,-29.28,-10.83,6,12,4,6,3,16,1843,2415,1247,628,1844,.341,131,575,.228,456,702,.650,428,1209,304,275,119,675,671,2026.0
,missouri,Missouri,32,16,16,.500,11.38,15.53,4,12,9,8,4,6,2318,2451,1285,791,1819,.435,271,776,.349,465,597,.779,252,1159,405,203,92,518,467,2026.0
,missouri-state,Missouri State,34,22,12,.647,3.78,-0.90,11,7,10,5,7,6,2233,2074,1365,770,1897,.406,142,476,.298,551,738,.747,402,1345,416,249,95,603,586,2026.0
,monmouth,Monmouth,31,20,11,.645,-6.35,-7.96,12,6,10,5,9,5,1967,1801,1260,720,1772,.406,164,599,.274,363,538,.675,423,1178,361,244,108,507,501,2026.0
,montana,Montana,31,9,22,.290,-9.73,1.20,5,13,3,10,4,10,1924,2215,1255,680,1769,.384,283,908,.312,281,365,.770,188,975,343,202,86,447,467,2026.0
,montana-state,Montana State,32,25,7,.781,10.61,-0.46,16,2,13,0,9,5,2382,1959,1295,892,2151,.415,242,812,.298,356,541,.658,453,1166,480,489,120,491,574,2026.0
,morehead-state,Morehead State,32,18,14,.563,-5.18,-2.89,13,7,11,4,7,9,2083,2075,1280,725,1758,.412,251,816,.308,382,544,.702,271,1047,456,303,80,520,579,2026.0
,morgan-state,Morgan State,31,5,26,.161,-22.94,-4.08,3,10,3,8,2,14,1695,2219,1245,578,1662,.348,136,456,.298,403,575,.701,303,986,322,249,69,575,542,2026.0
,mount-st-marys,Mount St. Mary's,30,15,15,.500,-13.61,-11.31,11,9,9,5,6,9,1803,1872,1210,660,1764,.374,163,587,.278,320,484,.661,377,1135,363,310,98,532,570,2026.0
,murray-state,Murray State,33,30,3,.909,8.31,-3.06,19,1,14,0,12,3,2837,2416,1340,951,2162,.440,271,870,.311,664,827,.803,412,1360,482,221,82,432,524,2026.0
,navy,Navy,30,22,8,.733,0.98,-7.88,15,2,13,4,9,4,2105,1813,1220,783,1878,.417,218,713,.306,321,462,.695,367,1170,456,239,87,391,494,2026.0
,north-carolina-state,NC State,30,20,10,.667,26.45,15.72,13,5,10,4,7,4,2316,1994,1215,893,1988,.449,181,574,.315,349,458,.762,360,1292,432,205,106,372,364,2026.0
,nebraska,Nebraska,30,18,12,.600,27.38,15.75,7,11,13,4,2,7,2380,2031,1200,880,1848,.476,232,663,.350,388,493,.787,315,999,551,260,107,414,496,2026.0
,nevada,Nevada,31,10,21,.323,-5.01,0.39,6,14,8,6,2,11,1770,1915,1250,680,1742,.390,98,427,.230,312,503,.620,363,1130,332,220,82,496,476,2026.0
,nevada-las-vegas,Nevada-Las Vegas,32,21,11,.656,8.70,2.86,15,5,12,3,8,7,2197,2010,1285,796,1888,.422,225,665,.338,380,513,.741,340,1241,429,197,106,419,405,2026.0
,new-hampshire,New Hampshire,30,10,20,.333,-13.00,-5.36,4,12,7,6,3,14,1675,1802,1210,616,1574,.391,142,504,.282,301,404,.745,234,992,293,221,80,462,450,2026.0
,new-haven,New Haven,29,7,22,.241,-23.38,-16.53,5,13,6,10,1,12,1694,1774,1170,627,1639,.383,147,509,.289,293,407,.720,402,1105,380,247,61,506,457,2026.0
,new-mexico,New Mexico,32,22,10,.688,5.33,-1.33,14,6,12,4,9,4,2156,1943,1280,798,1975,.404,242,787,.307,318,471,.675,423,1275,385,299,84,472,491,2026.0
,new-mexico-state,New Mexico State,30,9,21,.300,-13.80,-1.06,5,13,7,7,2,12,1711,2002,1210,673,1676,.402,109,402,.271,256,408,.627,298,1041,351,282,100,633,609,2026.0
,new-orleans,New Orleans,30,3,27,.100,-24.92,-4.89,3,19,1,13,2,14,1841,2430,1206,662,1896,.349,143,583,.245,374,542,.690,401,1095,349,247,78,579,575,2026.0
,niagara,Niagara,29,1,28,.034,-33.18,-7.46,1,19,1,11,0,17,1492,2238,1160,538,1654,.325,118,456,.259,298,473,.630,360,916,255,311,85,677,600,2026.0
,nicholls-state,Nicholls State,31,15,16,.484,-10.91,-11.21,10,12,8,6,6,9,2001,1945,1240,711,1840,.386,123,504,.244,456,633,.720,393,1141,355,328,81,471,561,2026.0
,njit,NJIT,30,18,12,.600,-4.54,-7.37,9,7,9,6,9,6,1973,1888,1200,756,1687,.448,199,610,.326,262,402,.652,309,1096,377,206,148,456,437,2026.0
,norfolk-state,Norfolk State,32,18,14,.563,-5.36,-6.33,11,3,9,3,7,10,2039,1858,1280,736,1967,.374,184,642,.287,383,550,.696,397,1207,386,396,158,544,519,2026.0
,north-alabama,North Alabama,31,17,14,.548,-8.26,-6.78,11,7,10,4,6,9,2004,1985,1265,765,1893,.404,179,632,.283,295,440,.670,358,1222,443,211,107,494,522,2026.0
,north-carolina,North Carolina,33,26,7,.788,29.06,12.61,14,4,13,2,8,3,2489,1946,1340,945,2074,.456,277,767,.361,322,465,.692,410,1304,527,292,118,464,538,2026.0
,north-carolina-at,North Carolina A&T,30,12,18,.400,-9.93,-2.85,7,11,8,7,4,10,1881,1890,1230,653,1637,.399,153,519,.295,422,634,.666,390,1179,390,216,107,602,469,2026.0
,north-carolina-central,North Carolina Central,29,9,20,.310,-18.01,-6.82,5,9,7,7,2,12,1808,1995,1164,633,1735,.365,143,467,.306,399,651,.613,353,1097,332,310,89,638,638,2026.0
,north-dakota,North Dakota,31,7,24,.226,-18.89,-1.39,3,13,6,10,1,11,1825,2238,1240,619,1631,.380,210,778,.270,377,504,.748,209,1077,344,163,80,602,508,2026.0
,north-dakota-state,North Dakota State,32,28,4,.875,14.78,-4.12,15,1,11,2,12,0,2535,1886,1285,895,1856,.482,201,558,.360,544,708,.768,337,1171,434,221,120,367,517,2026.0
,north-florida,North Florida,30,9,21,.300,-13.47,-4.00,4,14,5,8,4,12,1867,2115,1205,690,1749,.395,194,683,.284,293,410,.715,312,1006,383,252,78,560,540,2026.0
,north-texas,North Texas,33,19,14,.576,7.88,2.72,11,7,10,7,6,5,2330,2048,1330,841,2053,.410,181,531,.341,467,673,.694,479,1359,395,288,89,550,628,2026.0
,northeastern,Northeastern,29,7,22,.241,-14.51,-7.82,3,15,3,10,4,11,1758,1952,1185,641,1625,.394,125,434,.288,351,501,.701,348,1019,315,225,60,506,502,2026.0
,northern-arizona,Northern Arizona,32,10,22,.313,-8.88,-0.75,6,12,5,8,5,11,2221,2382,1285,775,1947,.398,209,630,.332,462,637,.725,341,1190,415,297,82,536,562,2026.0
,northern-colorado,Northern Colorado,32,22,10,.688,0.26,-3.50,13,5,11,4,10,5,2191,1909,1289,780,1880,.415,196,660,.297,435,580,.750,448,1216,411,357,83,577,596,2026.0
,northern-illinois,Northern Illinois,30,7,23,.233,-14.46,-3.06,4,14,5,8,2,15,1726,2068,1205,592,1519,.390,142,477,.298,400,588,.680,254,940,344,230,59,523,569,2026.0
,northern-iowa,Northern Iowa,32,18,14,.563,3.12,-0.42,13,7,8,5,8,8,2171,2058,1285,771,1850,.417,228,669,.341,401,569,.705,301,1204,425,233,132,450,506,2026.0
,northern-kentucky,Northern Kentucky,32,15,17,.469,-2.79,-1.41,12,8,7,7,7,9,2189,2233,1295,757,1942,.390,229,777,.295,446,594,.751,391,1230,367,217,90,494,559,2026.0
,northwestern,Northwestern,29,8,21,.276,6.14,16.65,2,16,6,9,1,11,1896,2201,1160,709,1668,.425,155,507,.306,323,451,.716,281,958,507,160,111,458,497,2026.0
,northwestern-state,Northwestern State,32,18,14,.563,-7.19,-5.85,14,8,9,4,8,7,2036,1947,1285,724,1838,.394,236,712,.331,352,503,.700,432,1277,404,210,74,570,528,2026.0
,notre-dame,Notre Dame,32,22,10,.688,27.79,14.79,12,6,14,2,6,6,2493,2077,1285,947,2034,.466,207,587,.353,392,498,.787,333,1094,462,428,101,414,494,2026.0
,oakland,Oakland,31,10,21,.323,-9.75,-0.01,7,13,5,7,5,12,1974,2208,1245,706,1786,.395,206,667,.309,356,491,.725,356,1119,384,176,101,505,488,2026.0
,ohio,Ohio,31,18,13,.581,0.19,-1.62,11,7,10,6,7,6,2301,2215,1260,780,1950,.400,308,956,.322,433,655,.661,382,1156,424,364,93,539,557,2026.0
,ohio-state,Ohio State,33,26,7,.788,32.61,17.09,13,5,14,3,7,3,2696,2184,1325,1004,2201,.456,266,767,.347,422,552,.764,384,1216,598,386,150,448,533,2026.0
,oklahoma,Oklahoma,31,24,7,.774,34.52,15.91,11,5,14,2,6,3,2687,2110,1247,1008,2238,.450,205,701,.292,466,641,.727,506,1506,620,311,156,505,581,2026.0
,oklahoma-state,Oklahoma State,32,23,9,.719,25.65,9.26,12,6,16,1,5,6,2607,2029,1280,946,2033,.465,296,844,.351,419,552,.759,413,1213,550,319,95,444,509,2026.0
,old-dominion,Old Dominion,32,18,14,.563,0.57,1.99,9,9,10,5,7,5,2221,2191,1305,809,2029,.399,163,567,.287,440,622,.707,485,1366,396,291,174,574,632,2026.0
,nebraska-omaha,Omaha,33,6,27,.182,-24.71,0.22,3,13,4,10,1,14,1784,2507,1320,613,1817,.337,234,785,.298,324,450,.720,351,1127,342,173,99,640,589,2026.0
,oral-roberts,Oral Roberts,30,15,15,.500,-3.46,-0.46,8,8,10,4,5,10,2285,2257,1205,836,1888,.443,175,506,.346,438,598,.732,303,1055,354,290,102,456,577,2026.0
,oregon,Oregon,34,22,12,.647,26.55,16.34,8,10,12,5,6,5,2541,2194,1380,937,2071,.452,228,666,.342,439,566,.776,344,1217,577,351,125,509,555,2026.0
,oregon-state,Oregon State,34,23,11,.676,9.51,4.60,13,5,13,4,6,4,2288,2074,1375,843,1930,.437,201,603,.333,401,588,.682,384,1375,443,216,143,497,395,2026.0
,pacific,Pacific,30,11,19,.367,-2.56,2.99,6,12,10,8,1,10,1968,2062,1200,702,1744,.403,218,677,.322,346,451,.767,357,1083,423,208,85,512,537,2026.0
,penn-state,Penn State,29,11,18,.379,9.97,17.77,4,14,6,8,3,8,2158,2384,1165,840,1822,.461,203,600,.338,275,409,.672,329,1062,475,242,76,530,542,2026.0
,pennsylvania,Pennsylvania,27,17,10,.630,2.38,-0.54,7,7,8,4,6,6,1744,1563,1095,634,1577,.402,191,615,.311,285,364,.783,318,992,400,220,106,391,379,2026.0
,pepperdine,Pepperdine,31,19,12,.613,3.53,0.05,10,8,13,3,6,8,2188,2056,1250,806,1817,.444,230,671,.343,346,459,.754,308,1203,498,197,94,511,467,2026.0
,pittsburgh,Pittsburgh,31,8,23,.258,-7.04,5.60,1,17,6,12,1,10,1877,2262,1240,713,1885,.378,150,524,.286,301,398,.756,340,1164,385,188,87,495,409,2026.0
,portland,Portland,32,18,14,.563,3.88,2.31,11,7,11,4,6,8,2210,2030,1285,813,1940,.419,229,678,.338,355,488,.727,335,1083,537,351,178,546,573,2026.0
,portland-state,Portland State,31,6,25,.194,-14.92,-2.32,2,16,5,10,1,14,1975,2316,1250,705,1788,.394,136,514,.265,429,598,.717,350,1101,361,186,85,529,534,2026.0
,prairie-view,Prairie View,30,2,28,.067,-33.07,-10.35,0,18,2,10,0,17,1635,2251,1191,567,1694,.335,156,608,.257,345,541,.638,281,1002,258,220,138,609,555,2026.0
,presbyterian,Presbyterian,30,3,27,.100,-34.25,-10.07,1,15,2,11,1,13,1614,2187,1200,582,1673,.348,108,435,.248,342,549,.623,384,981,237,274,70,638,618,2026.0
,princeton,Princeton,29,26,3,.897,16.10,3.58,12,2,11,1,11,2,2103,1740,1170,765,1687,.453,189,554,.341,384,500,.768,340,1006,415,279,99,378,394,2026.0
,providence,Providence,33,15,18,.455,3.27,7.18,7,13,11,7,2,9,1979,2108,1325,742,1910,.388,155,555,.279,340,506,.672,399,1215,380,292,101,546,515,2026.0
,purdue,Purdue,30,13,17,.433,12.63,15.43,5,13,11,6,2,10,2083,2167,1210,772,1795,.430,217,653,.332,322,435,.740,328,1033,456,235,80,469,552,2026.0
,ipfw,Purdue Fort Wayne,33,20,13,.606,2.11,-3.08,12,8,13,3,5,8,2335,2096,1330,862,1951,.442,236,741,.318,375,539,.696,255,1105,405,289,85,463,563,2026.0
,queens-nc,Queens (NC),30,10,20,.333,-20.04,-8.00,4,14,6,8,4,11,1780,2025,1200,641,1772,.362,202,649,.311,296,471,.628,342,1069,318,229,84,514,513,2026.0
,quinnipiac,Quinnipiac,32,26,6,.813,4.77,-10.95,19,1,10,4,14,1,2144,1641,1285,795,1846,.431,248,687,.361,306,400,.765,334,1140,511,267,62,383,453,2026.0
,radford,Radford,34,22,12,.647,-5.89,-10.58,12,4,12,3,7,7,2298,2063,1385,839,2128,.394,245,787,.311,375,562,.667,410,1329,466,301,109,512,545,2026.0
,rhode-island,Rhode Island,32,28,4,.875,13.88,1.34,16,2,14,1,11,3,2165,1720,1280,793,1865,.425,172,585,.294,407,528,.771,376,1232,414,216,104,366,440,2026.0
,rice,Rice,33,28,5,.848,11.27,0.79,17,1,14,1,11,2,2310,1964,1325,814,2042,.399,231,706,.327,451,553,.816,394,1281,466,241,112,442,555,2026.0
,richmond,Richmond,33,26,7,.788,17.32,3.72,15,3,13,1,9,4,2396,1947,1340,870,1899,.458,348,941,.370,308,387,.796,311,1172,532,249,95,463,413,2026.0
,rider,Rider,29,7,22,.241,-20.78,-11.82,5,15,4,9,3,13,1540,1800,1164,588,1639,.359,166,665,.250,198,318,.623,324,1033,384,229,85,497,496,2026.0
,robert-morris,Robert Morris,30,18,12,.600,-5.72,-6.61,11,9,10,4,8,8,1915,1812,1215,693,1672,.414,132,497,.266,397,516,.769,305,1144,377,178,105,477,510,2026.0
,rutgers,Rutgers,29,9,20,.310,2.45,13.90,1,17,8,10,1,10,1683,2015,1160,594,1622,.366,159,545,.292,336,501,.671,344,1017,335,223,105,484,487,2026.0
,sacramento-state,Sacramento State,33,15,18,.455,-4.26,-2.36,8,10,8,6,6,10,2088,2002,1325,782,1925,.406,226,722,.313,298,423,.704,412,1217,414,298,109,607,576,2026.0
,sacred-heart,Sacred Heart,31,13,18,.419,-14.89,-9.85,10,10,7,7,5,10,1764,1903,1250,620,1596,.388,139,462,.301,385,559,.689,349,1101,356,223,69,581,467,2026.0
,saint-francis-pa,Saint Francis (PA),30,3,27,.100,-28.56,-14.63,3,15,2,11,1,15,1704,2110,1200,618,1745,.354,155,598,.259,313,440,.711,340,1067,367,200,70,526,512,2026.0
,saint-josephs,Saint Joseph's,31,20,11,.645,7.86,2.51,10,8,11,5,8,5,2062,1814,1240,737,1707,.432,214,637,.336,374,524,.714,325,1083,512,254,87,447,465,2026.0
,saint-louis,Saint Louis,33,12,21,.364,-4.78,0.85,5,13,6,10,4,9,2120,2221,1325,746,1974,.378,161,606,.266,467,638,.732,428,1286,402,274,153,586,655,2026.0
,saint-marys-ca,Saint Mary's (CA),32,15,17,.469,-0.25,1.05,6,12,7,7,8,7,1918,1900,1300,745,1773,.420,130,455,.286,298,417,.715,359,1093,463,318,74,553,514,2026.0
,saint-peters,Saint Peter's,30,7,23,.233,-22.70,-9.29,6,14,2,12,5,10,1537,1874,1200,547,1602,.341,165,604,.273,278,438,.635,308,987,315,251,73,480,443,2026.0
,sam-houston-state,Sam Houston,30,18,12,.600,-0.96,-2.11,11,7,12,4,6,7,1966,1795,1205,722,1831,.394,115,418,.275,407,662,.615,440,1071,408,398,57,525,536,2026.0
,samford,Samford,34,16,18,.471,-12.35,-4.45,6,8,8,4,4,13,2048,2200,1365,713,1830,.390,286,875,.327,336,457,.735,289,1112,391,210,116,523,562,2026.0
,san-diego,San Diego,33,11,22,.333,-8.36,0.39,4,14,9,7,0,13,1896,2107,1320,693,1922,.361,154,572,.269,356,517,.689,448,1301,330,254,114,570,570,2026.0
,san-diego-state,San Diego State,30,25,5,.833,10.07,1.18,19,1,14,1,10,1,2119,1801,1204,775,1759,.441,256,709,.361,313,417,.751,266,1080,411,207,79,375,443,2026.0
,san-francisco,San Francisco,32,18,14,.563,0.19,1.55,9,9,9,7,6,6,2184,2186,1300,813,1994,.408,191,670,.285,367,525,.699,408,1270,509,290,76,584,574,2026.0
,san-jose-state,San Jose State,32,4,28,.125,-15.67,2.43,2,18,4,10,0,17,1786,2304,1280,608,1811,.336,222,810,.274,348,506,.688,303,1144,351,212,126,587,528,2026.0
,santa-clara,Santa Clara,33,24,9,.727,9.76,1.34,13,5,11,3,11,4,2660,2261,1325,927,2322,.399,315,1009,.312,491,665,.738,487,1403,530,317,176,377,545,2026.0
,seattle,Seattle,30,5,25,.167,-19.96,-0.54,1,17,4,10,0,14,1829,2278,1200,664,1748,.380,167,602,.277,334,422,.791,270,1008,323,202,81,529,496,2026.0
,seton-hall,Seton Hall,31,19,12,.613,13.44,9.67,12,8,10,5,8,6,2103,1986,1250,744,1830,.407,220,679,.324,395,521,.758,365,1136,407,284,74,475,436,2026.0
